text,label
"I feel exhausted,useless, and defeated. I've tried medication,meditation, talk therapy, Journaling, exercise . Nothing seems to help. I feel so ashamed that I can't just be happy. Nobody gets it or wants to hear about my ptsd and depression anymore. I feel I just need to fake everything because I'm just an empty shell. I wish I would be able to conquer this but I feel like there's no hope for me. It's been too long. This is as good as it gets.",High Stress
"Hi, I'm here because i suffer from Anxiety/Depression. I’m a caregiver to my brother recently diagnosed with Schizophrenia. He’s medically stable, finally! Now I need to fix myself from the journey of dealing with him.",Moderate Stress
"I have had a lot going on in the last year or two (especially lol). I always have as I have chronic health issues: NF1, chronic pain, migraine, asthma, major depression, and generalized anxiety. I have realized that I endured events that were traumatic but didn't want to label it as such at the time.",High Stress
"I know they saw more potential in me. And that I could be better and do better. Why wasn't I enough the way I was? Or the way I am? I knew I was in a very dark place and I wasn't who I wanted to be and people just continued to encourage and believe in my potential. But after 23 years I'm still not there, and to a degree it does feel like everyone has given up on me, which I fully understand. So all knows, I fully expected myself to be way further ahead, way better, stronger, happier and healthier than I am now. Again, I know a lot I am at fault for.",Moderate Stress
"In my head, I'm this successful and happy woman, I have a degree, I have a stable career, I'm free of my disease and I'm actually real. I exist. I have a supportive family without strings and I have a life I'm in love with. I'm not running from one high to another.",Low Stress
"I'm tired of people telling me all this makes me stronger, when it's only made me weaker. I find something that gives me a feeling of high and I latch onto it. I do anything to get that high. I sacrifice all I can just to feel that high. Even if it means sacrificing who I am, or who I think I am.",High Stress
"Hi friends. I just need to vent my frustration. The flu sucks, losing my voice repeatedly for weeks on end sucks, having to take off work and lose pay due to health issues sucks, having people constantly look at you with puppy dog eyes because they don't know what to say anymore aside from how bad they feel for you sucks, following doctor's advice only for the office or other providers mess things up more sucks, having constant stress and trauma from the overwhelming amount of health issues sucks, being your own best advocate and people still not taking you seriously sucks, having to repeatedly either not make plans at all and/or cancel them last minute sucks, etc. This feeling like your body betrays you time and time again as well as holds you prisoner is a tough pill to swallow. How are you not supposed to be anxiety ridden and depressed when all this is occurring? Sure, therapy and different tools learned through the years make the sting a little less severe, but never take away the grief that comes from retraumatization with each new issue/ flare-up /complication. I am so sick and tired of being sick and tired.",Moderate Stress
"I feel overwhelmed by the high demands of my academic courses and the pressure to maintain a high GPA or get good grades. The heavy workload makes me feel stressed, anxious, and like I don't have enough time for myself.",Moderate Stress
"I'm afraid of failing a class, not getting into my desired program, or disappointing my parents or peers. This fear leads to performance anxiety, which can be debilitating and impact my academic and personal life.",Moderate Stress
" College is expensive, and I worry about how I will pay for tuition, rent, food, and other expenses. Financial instability makes me feel stressed, anxious, and like I can't fully focus on my academic and personal goals.",Moderate Stress
